Value,Device,Package,Qty,Cost per Unit (£),Purchase Quantity,Cost Per Board,Store
GPS_FGPMMOPA6H,FGPMMOPA6H,U2,1,17.64,1,17.64,Adafruit
JST_2MM_MALE,JST-2-SMD,J2,1,0.6,1,0.6,Sparkfun
LEDSML0603,SML0603,LED1,1,0,1,0,STOCK
M03X2NO_SILK,2X3-NS,"SPI,",2,0,1,0,STOCK
NPN-TRANSISTOR_SOT23W,SOT23W,"Q1,",3,0.03,1,0.09,Rapid
10k,R-EU_R0603,R0603,1,0,1,0,STOCK
12MHz,CRYSTALSM49,SM49,1,0,1,0,STOCK
22pF,CAP0603-CAP,0603-CAP,2,0,1,0,STOCK
470nF,C-EU025-024X044,C025-024X044,1,0,1,0,STOCK
ATMEGA644P-20AU,ATMEGA644P-20AU,QFP80P1200X1200X120-44N,1,5,1,5,Mouser
LM2941,LM2941,LM2941,1,2.16,1,2.16,Rapid
M05X2PTH,M05X2PTH,AVR_ICSP,1,0,1,0,STOCK
POWER_JACKPTH,POWER_JACKPTH,POWER_JACK_PTH,1,0.75,1,0.75,Sparkfun
QUECTELM10,QUECTELM10,QUECTELM10,1,20,1,20,Arduino Store
SIMHOLDER,SIMHOLDER,SIMHOLDER,1,0.56,1,0.56,Sparkfun
SMF05C,SMF05C,SC-88,1,0.37,1,0.37,Mouser
SWITCH-MOMENTARY-2PTH,SWITCH-MOMENTARY-2PTH,TACTILE-PTH,1,0,1,0,STOCK
USBSMD,USBSMD,USB-MINIB,1,0,1,0,STOCK
PCB,,,1,11.72,10,11.72,
,,,,,,,
,,Number to make,1,,,,
,,Cost per Board (not including shipping),58.89,,,,
